Filter,FP,FN,VP,VN,precision,rappel,f1_score,shape_count,mean_area,area_var,area_std_dev,mean_perimeter
OpenClose_6,47378,99647,105552,1997423,0.6901981298633362,0.5143884716787119,0.5894635731817306,0,0.0,0.0,0.0,0.0
TopHat_6,7403,101968,103231,2037398,0.9330856698664064,0.5030775003776822,0.6537062308245181,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_6,1879657,2,205197,165144,0.09842271928873676,0.9999902533638079,0.17920720612143037,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_6,72408,91575,113624,1972393,0.6107766405779651,0.5537258953503672,0.5808537667004915,104,1629.8461538461538,18451217.827292897,4295.48807788974,263.32875029169594
Contours_OpenClose_80_6,50343,104946,100253,1994458,0.6657082525432282,0.4885647590875199,0.5635436135977178,78,1847.7179487179487,20302749.183267582,4505.857208486259,211.09321931386606
Contours_TopHat_80_6,5198,103981,101218,2039603,0.9511539618102541,0.4932675110502488,0.6496349662243474,80,1192.31875,3751834.701523437,1936.9653330721842,258.49407824277876
Verite_terrain_0_6,12322,14712,190487,2032479,0.9392433274657437,0.9283037441702933,0.9337414952647988,65,3026.9692307692308,29881876.999053255,5466.431834300438,301.21003132233255
Threshold_7,16541,40436,48372,645755,0.7451820128479657,0.5446806594000541,0.6293479745773186,0,0.0,0.0,0.0,0.0
OpenClose_7,7880,50570,38238,654416,0.8291339607094844,0.4305693180794523,0.5667995790285044,0,0.0,0.0,0.0,0.0
TopHat_7,3432,59845,28963,658864,0.8940577249575552,0.32613052878119086,0.4779254638911578,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_7,660307,0,88808,1989,0.11855055632312796,1.0,0.21197174442043004,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_7,13426,41294,47514,648870,0.7796849360026256,0.5350193676245383,0.6345861046558218,75,726.3866666666667,728856.6038222221,853.7309903138237,174.1899355808894
Contours_OpenClose_80_7,7285,51301,37507,655011,0.8373593498839078,0.4223380776506621,0.5614820359281437,56,745.0357142857143,558389.8469387756,747.254874148557,137.92032166676861
Contours_TopHat_80_7,2664,60267,28541,659632,0.914629065854831,0.3213787046212053,0.47563180655429005,35,789.9,596144.0257142857,772.1036366410183,203.09963300909314
Verite_terrain_0_7,1530,2499,86309,660766,0.9825817689181343,0.9718606431852986,0.9771918005966702,73,1152.8082191780823,1140974.1070557327,1068.1638952219519,143.46653294563293
Threshold_8,5716,43050,48732,472238,0.8950191007934176,0.5309537817872786,0.6665116597141489,0,0.0,0.0,0.0,0.0
OpenClose_8,1885,56208,35574,476069,0.9496783149576871,0.3875923383670001,0.5505064182418892,0,0.0,0.0,0.0,0.0
TopHat_8,2778,47277,44505,475176,0.9412473827802804,0.4848989998038831,0.640060403408478,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_8,475160,0,91782,2794,0.1618895760060112,1.0,0.2786660270462287,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_8,4273,44797,46985,473681,0.9166374029419798,0.5119195484953477,0.6569491051454138,62,750.0967741935484,447828.7890218522,669.2001113432754,165.16638558141648
Contours_OpenClose_80_8,1711,56485,35297,476243,0.9537667531344575,0.38457431740428405,0.5481326189921578,53,646.6698113207547,300467.8673905304,548.1494936516227,120.89293750277105
Contours_TopHat_80_8,812,47437,44345,477142,0.982018291737715,0.48315573859798217,0.6476606372180314,51,754.656862745098,481432.7204921185,693.8535295666647,226.89488591867334
Verite_terrain_0_8,1313,3039,88743,476641,0.9854201829972462,0.9668889324704191,0.9760666087396473,66,1321.409090909091,1111919.1962809917,1054.4757921740033,156.8336729913047
Threshold_9,22554,44503,71473,986404,0.7601327278334946,0.6162740567013865,0.6806855140164664,0,0.0,0.0,0.0,0.0
OpenClose_9,10863,54211,61765,998095,0.8504295863854161,0.5325670828447265,0.6549702021166041,0,0.0,0.0,0.0,0.0
TopHat_9,6828,48381,67595,1002130,0.9082541687381589,0.5828361040215216,0.710035241781732,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_9,997708,72,115904,11250,0.104079338225522,0.9993791818997034,0.1885249368081016,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_9,18660,44282,71694,990298,0.7934789826681719,0.6181796233703525,0.6949449910337808,107,756.018691588785,1211708.3501179144,1100.7762488888986,170.673316043114
Contours_OpenClose_80_9,10517,55125,60851,998441,0.8526370362067033,0.5246861419604056,0.6496178153557094,85,786.0117647058823,1280274.0880968857,1131.4919743846554,136.5045023581561
Contours_TopHat_80_9,3318,50360,65616,1005640,0.9518670032204718,0.5657722287369801,0.7097074252338976,70,876.5642857142857,1526577.9780102044,1235.5476429544126,236.0672814811979
Verite_terrain_0_9,3171,3711,112265,1005787,0.9725302332028137,0.9680020004138787,0.970260833491781,79,1397.240506329114,2479650.328232656,1574.690549991539,161.10692490656166
Threshold_10,32368,36522,63415,862403,0.6620694695300836,0.6345497663528022,0.648017576129164,0,0.0,0.0,0.0,0.0
OpenClose_10,16919,44403,55534,877852,0.7664830993885692,0.5556900847533947,0.6442833110969315,0,0.0,0.0,0.0,0.0
TopHat_10,9711,48007,51930,885060,0.8424587531026427,0.5196273652401012,0.6427855277327359,0,0.0,0.0,0.0,0.0
FiltreAlternesSeq_10,885294,0,99937,9477,0.10143509491682662,1.0,0.1841871489022898,0,0.0,0.0,0.0,0.0
Contours_Threshold_80_10,27704,36819,63118,867067,0.6949637752967343,0.6315778940732661,0.6617564571003202,121,682.1776859504132,456425.43743596744,675.5926564402306,149.99561270504944
Contours_OpenClose_80_10,15933,45145,54792,878838,0.7747189819724284,0.5482654072065402,0.6421113077310708,97,677.7628865979382,397649.0468700181,630.5942014243535,124.06827644711917
Contours_TopHat_80_10,7955,47851,52086,886816,0.8675072034110025,0.5211883486596556,0.6511645351235795,83,642.3072289156627,337863.8905501524,581.2606046775855,162.80465503485806
Verite_terrain_0_10,1578,3155,96782,893193,0.9839568930459537,0.968430110969911,0.9761317619530301,74,1282.668918918919,1185009.8194393716,1088.581563062397,153.82988335474118
